Year;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Simulate;84;160;237;336;587;357;443;547;728;914;1173;1689;2495;2641
Dati storici;72;139;240;363;742;494;683;576;673;804;1025;1698;3198;2235
