Battery Rebate;FiT;Share PV Cantonal over Federal rebate;EC scenario;PV Rebate;Type;Domanda;Produzione PV;Autoconsumo
0.2;0.1;0.1;0;0;Bellinzona;422.9469056;203.4374601;94.78095979
0.2;0.05;0.2;0;0;Bellinzona;424.1047722;185.0749471;89.37267285
0.2;0.075;0.2;0;0;Bellinzona;423.5734788;194.1891996;92.11942643
0.2;0.025;0.2;0;0;Bellinzona;424.5540711;176.1525576;86.52402932
0.2;0;0.2;0;0;Bellinzona;424.9279671;167.4771948;83.57885198
0.2;0.1;0.2;0;0;Bellinzona;422.9469056;203.4374601;94.78095979
0.2;0;0.3;0;0;Bellinzona;424.9279671;167.4771948;83.57885198
0.2;0.025;0.3;0;0;Bellinzona;424.5540711;176.1525576;86.52402932
0.2;0.05;0.3;0;0;Bellinzona;424.1047722;185.0749471;89.37267285
0.2;0.075;0.3;0;0;Bellinzona;423.5734788;194.1891996;92.11942643
0.2;0.1;0.3;0;0;Bellinzona;422.9469056;203.4374601;94.78095979
0.2;0.025;0.4;0;0;Bellinzona;424.5540711;176.1525576;86.52402932
0.2;0.075;0.4;0;0;Bellinzona;423.5734788;194.1891996;92.11942643
0.2;0;0.4;0;0;Bellinzona;424.9279671;167.4771948;83.57885198
0.2;0.05;0.4;0;0;Bellinzona;424.1047722;185.0749471;89.37267285
0.2;0.1;0.4;0;0;Bellinzona;422.9469056;203.4374601;94.78095979
0.2;0;0.5;0;0;Bellinzona;424.9279671;167.4771948;83.57885198
0.2;0.025;0.5;0;0;Bellinzona;424.5540711;176.1525576;86.52402932
0.2;0.05;0.5;0;0;Bellinzona;424.1047722;185.0749471;89.37267285
0.2;0.075;0.5;0;0;Bellinzona;423.5734788;194.1891996;92.11942643
0.2;0.1;0.5;0;0;Bellinzona;422.9469056;203.4374601;94.78095979
0.3;0.025;0;0;0;Bellinzona;424.4776652;176.2183686;87.55407429
0.3;0;0;0;0;Bellinzona;424.8437591;167.5520165;84.67844676
0.3;0.05;0;0;0;Bellinzona;424.0232899;185.1409013;90.29790363
0.3;0.075;0;0;0;Bellinzona;423.4970422;194.2408888;92.88815161
0.3;0.1;0;0;0;Bellinzona;422.8789978;203.4776257;95.37176263
0.3;0;0.1;0;0;Bellinzona;424.8437591;167.5520165;84.67844676
0.3;0.025;0.1;0;0;Bellinzona;424.4776652;176.2183686;87.55407429
0.3;0.05;0.1;0;0;Bellinzona;424.0232899;185.1409013;90.29790363
0.3;0.075;0.1;0;0;Bellinzona;423.4970422;194.2408888;92.88815161
0.3;0.1;0.1;0;0;Bellinzona;422.8789978;203.4776257;95.37176263
0.3;0.075;0.2;0;0;Bellinzona;423.4970422;194.2408888;92.88815161
0.3;0.025;0.2;0;0;Bellinzona;424.4776652;176.2183686;87.55407429
0.3;0;0.2;0;0;Bellinzona;424.8437591;167.5520165;84.67844676
0.3;0.05;0.2;0;0;Bellinzona;424.0232899;185.1409013;90.29790363
0.3;0.1;0.2;0;0;Bellinzona;422.8789978;203.4776257;95.37176263
0.3;0;0.3;0;0;Bellinzona;424.8437591;167.5520165;84.67844676
0.3;0.025;0.3;0;0;Bellinzona;424.4776652;176.2183686;87.55407429
0.3;0.05;0.3;0;0;Bellinzona;424.0232899;185.1409013;90.29790363
0.3;0.075;0.3;0;0;Bellinzona;423.4970422;194.2408888;92.88815161
0.3;0.1;0.3;0;0;Bellinzona;422.8789978;203.4776257;95.37176263
0.3;0.025;0.4;0;0;Bellinzona;424.4776652;176.2183686;87.55407429
0.3;0;0.4;0;0;Bellinzona;424.8437591;167.5520165;84.67844676
0.3;0.05;0.4;0;0;Bellinzona;424.0232899;185.1409013;90.29790363
0.3;0.075;0.4;0;0;Bellinzona;423.4970422;194.2408888;92.88815161
0.3;0.1;0.4;0;0;Bellinzona;422.8789978;203.4776257;95.37176263
0.3;0;0.5;0;0;Bellinzona;424.8437591;167.5520165;84.67844676
0.3;0.025;0.5;0;0;Bellinzona;424.4776652;176.2183686;87.55407429
0.3;0.05;0.5;0;0;Bellinzona;424.0232899;185.1409013;90.29790363
0.3;0.075;0.5;0;0;Bellinzona;423.4970422;194.2408888;92.88815161
0.3;0.1;0.5;0;0;Bellinzona;422.8789978;203.4776257;95.37176263
0;0.1;0.1;0;0.1;Bellinzona;422.4274367;216.5967685;100.1757979
0;0.075;0.1;0;0.1;Bellinzona;423.1337383;206.36973;96.97339498
0;0;0;0;0.1;Bellinzona;424.6918741;175.8543886;86.36387322
0;0.025;0;0;0.1;Bellinzona;424.2617548;185.4155917;89.79960353
0;0.075;0;0;0.1;Bellinzona;423.1667797;205.3042525;96.45556189
0;0.05;0;0;0.1;Bellinzona;423.7499681;195.2665423;93.17464855
0;0.025;0.1;0;0.1;Bellinzona;424.2315822;186.2494104;90.23772565
0;0.1;0;0;0.1;Bellinzona;422.4688399;215.4255152;99.62754245
0;0;0.1;0;0.1;Bellinzona;424.6567592;176.5821336;86.76364618
0;0.05;0.1;0;0.1;Bellinzona;423.7078658;196.2152974;93.65352264
0;0.05;0.2;0;0.1;Bellinzona;423.6673638;197.1922618;94.14805703
0;0;0.2;0;0.1;Bellinzona;424.6179016;177.3215585;87.16874444
0;0.075;0.3;0;0.1;Bellinzona;423.0422103;208.579682;98.04830496
0;0.075;0.2;0;0.1;Bellinzona;423.0876751;207.4596063;97.50289761
0;0.1;0.3;0;0.1;Bellinzona;422.3438834;219.0032399;101.2979641
0;0;0.3;0;0.1;Bellinzona;424.6045035;178.0718904;87.5787091
0;0.025;0.2;0;0.1;Bellinzona;424.1933298;187.1121767;90.69357354
0;0;0.4;0;0.1;Bellinzona;424.5662047;178.8494218;88.00579942
0;0.025;0.4;0;0.1;Bellinzona;424.1268408;188.8872813;91.6284489
0;0.05;0.4;0;0.1;Bellinzona;423.6154763;199.1975767;95.1582575
0;0.05;0.3;0;0.1;Bellinzona;423.656558;198.1745843;94.64066096
0;0.025;0.3;0;0.1;Bellinzona;424.1488248;187.9919323;91.15738079
0;0.025;0.5;0;0.1;Bellinzona;424.0633856;189.8153634;92.11930575
0;0.05;0.5;0;0.1;Bellinzona;423.5708104;200.2439954;95.68746854
0;0.075;0.5;0;0.1;Bellinzona;422.9538497;210.8747831;99.15946404
0;0.1;0.5;0;0.1;Bellinzona;422.2446363;221.5243201;102.4746071
0;0.1;0.2;0;0.1;Bellinzona;422.3976302;217.7798469;100.7254415
0.1;0.05;0;0;0.1;Bellinzona;423.6933256;195.3113847;93.75818906
0.1;0.075;0;0;0.1;Bellinzona;423.1161098;205.3417687;96.94229638
0.1;0.1;0;0;0.1;Bellinzona;422.4150675;215.4610305;100.0106198
0.1;0;0.1;0;0.1;Bellinzona;424.5943651;176.6410477;87.48934791
0;0;0.5;0;0.1;Bellinzona;424.5301355;179.6482728;88.44512583
0;0.1;0.4;0;0.1;Bellinzona;422.2962528;220.2511093;101.8808786
0;0.075;0.4;0;0.1;Bellinzona;422.9940548;209.7226376;98.60412184
0.1;0.025;0;0;0.1;Bellinzona;424.2008274;185.4703751;90.46468332
0.1;0;0;0;0.1;Bellinzona;424.6056525;175.921993;87.0915444
0.1;0.05;0.1;0;0.1;Bellinzona;423.6557775;196.2598081;94.2414225
0.1;0.025;0.1;0;0.1;Bellinzona;424.1651602;186.3101026;90.91209494
0.1;0.075;0.1;0;0.1;Bellinzona;423.0751123;206.413712;97.46964678
0.1;0.1;0.1;0;0.1;Bellinzona;422.3865366;216.6261105;100.5577812
0.1;0;0.2;0;0.1;Bellinzona;424.5529371;177.3876866;87.90426685
0.1;0.025;0.2;0;0.1;Bellinzona;424.1364588;187.1652787;91.36686437
0.1;0.075;0.2;0;0.1;Bellinzona;423.0317845;207.5032607;98.00361892
0.1;0.05;0.2;0;0.1;Bellinzona;423.6204877;197.2376559;94.74164454
0.1;0.1;0.2;0;0.1;Bellinzona;422.3475982;217.8134083;101.1147067
0.1;0;0.3;0;0.1;Bellinzona;424.5357697;178.1328232;88.31459348
0.1;0.025;0.3;0;0.1;Bellinzona;424.0981321;188.0455936;91.83637812
0.1;0.05;0.3;0;0.1;Bellinzona;423.5816967;198.234398;95.2504397
0.1;0.075;0.3;0;0.1;Bellinzona;422.9790206;208.6241523;98.5548714
0.1;0.1;0.3;0;0.1;Bellinzona;422.3039671;219.0325681;101.6881363
0.1;0;0.4;0;0.1;Bellinzona;424.5039615;178.9070871;88.74367067
0.1;0.025;0.4;0;0.1;Bellinzona;424.0671802;188.9374213;92.30955676
0.1;0.075;0.4;0;0.1;Bellinzona;422.9366808;209.760601;99.11071069
0.1;0.05;0.4;0;0.1;Bellinzona;423.548959;199.2494437;95.7672167
0.1;0.1;0.4;0;0.1;Bellinzona;422.2355818;220.2876563;102.2815576
0.1;0;0.5;0;0.1;Bellinzona;424.4518192;179.71494;89.19507731
0.1;0.025;0.5;0;0.1;Bellinzona;424.0080687;189.8668717;92.80722854
0.1;0.05;0.5;0;0.1;Bellinzona;423.5108316;200.2980534;96.30327666
0.1;0.075;0.5;0;0.1;Bellinzona;422.9027065;210.9154494;99.67257253
0.1;0.1;0.5;0;0.1;Bellinzona;422.1947211;221.558913;102.8780323
0.2;0;0;0;0.1;Bellinzona;424.530813;175.9922628;87.99450515
0.2;0.025;0;0;0.1;Bellinzona;424.1291593;185.5351634;91.30752303
0.2;0.075;0;0;0.1;Bellinzona;423.051637;205.387635;97.57030628
0.2;0.05;0;0;0.1;Bellinzona;423.6359694;195.3621438;94.50264628
0.2;0.1;0;0;0.1;Bellinzona;422.367476;215.4929433;100.497066
0.2;0;0.1;0;0.1;Bellinzona;424.5042944;176.7153018;88.4002777
0.2;0.025;0.1;0;0.1;Bellinzona;424.066721;186.3879533;91.77168089
0.2;0.05;0.1;0;0.1;Bellinzona;423.5857311;196.3244134;95.00339573
0.2;0.075;0.1;0;0.1;Bellinzona;423.0128374;206.4580681;98.10256237
0.2;0.1;0.1;0;0.1;Bellinzona;422.3167852;216.6703907;101.0598013
0.2;0;0.2;0;0.1;Bellinzona;424.4733598;177.4625785;88.82150061
0.2;0.025;0.2;0;0.1;Bellinzona;424.0564453;187.2354027;92.22561651
0.2;0.05;0.2;0;0.1;Bellinzona;423.54547;197.2933776;95.50268042
0.2;0.075;0.2;0;0.1;Bellinzona;422.9659874;207.5540163;98.64755752
0.2;0.1;0.2;0;0.1;Bellinzona;422.2787641;217.8620836;101.6250053
0.2;0;0.3;0;0.1;Bellinzona;424.4435013;178.2229856;89.24899073
0.2;0.025;0.3;0;0.1;Bellinzona;424.0223994;188.1117162;92.69812395
0.2;0.05;0.3;0;0.1;Bellinzona;423.4957133;198.3020884;96.02773545
0.2;0.075;0.3;0;0.1;Bellinzona;422.9093516;208.6758673;99.20633666
0.2;0.1;0.3;0;0.1;Bellinzona;422.2457585;219.0701217;102.1945696
0.2;0;0.4;0;0.1;Bellinzona;424.4210519;178.9953396;89.68221526
0.2;0.025;0.4;0;0.1;Bellinzona;423.9896299;189.0057408;93.17923663
0.2;0.05;0.4;0;0.1;Bellinzona;423.4715144;199.3100243;96.54473859
