Year;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Simulate;658;943;1409;1763;1517;1588;1398;1388;1462;1449;1602;2181;2741
Dati storici;1060;1115;1260;1370;1442;1266;1220;1402;1647;1677;1425;1598;2816
